,Title,Price,Rooms,m2,Neighbourhood,Street,Posted days ago,Description,URL
0,1 værelses lejlighed på 32 m²,10.100,1,32,København K,Store Kongensgade,0,"Her er en unik mulighed for at flytte ind i den flotte nyistandsatte ejendom i hjertet af København. Alle lejligheder er nye og i moderne, nordisk stil. Nyt lækkert køkken og et flot badeværelse med væghængt toilet, bruseniche og gulvvarme

Denne lejlighed har en altan som vender sydøst

Boliger og fællesarealer samt stort og solrigt gårdmiljø er ude og inde indrettet, så de bedst muligt danner rammen om din hverdag. 

Lejligheden ligger tæt på nogle af hovedstadens ypperste attraktioner – få meter fra Marmorkirken og blot en kort gåtur fra bl.a. Nyhavn, Ofelia Beach og Toldboden. Løbeture på Kastellet, i Kongens Have eller langs havnefronten. Shopping og hyggelige kaffebarer. Gallerier, fitnesscentre og søndagsbrunch med vennerne.

Du kan søge boligstøtte, når du bor her på borger dk 


ENGLISH: 

Here is a unique opportunity to move into the beautiful newly renovated property in the heart of Copenhagen. All apartments are new and in a modern, Nordic style. New delicious kitchen and a nice bathroom with wall-mounted toilet, shower and underfloor heating

This apartment has a balcony facing southeast

Homes and common areas as well as a large and sunny courtyard environment are arranged outside and inside, so that they form the best possible framework for your everyday life.

The apartment is close to some of the capital\'s top attractions - a few meters from the Marble Church and just a short walk from i.a. Nyhavn, Ofelia Beach and Toldboden. Running trips at Kastellet, in Kongens Have or along the waterfront. Shopping and nice coffee shops. Galleries, gyms and Sunday brunch with friends.

You can apply for housing benefit when you live here at borger dk",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6029213
1,3 værelses lejlighed på 70 m²,10.271,3,70,København S,Else Alfelts Vej,0,"Nyopført ejendom med 2 og 3 værelses lejligheder samt rækkehuse.

Der er ikke flere 2 værelses lejligheder tilbage.

Ejendommen ligger i det naturskønne Ørestad Syd og i gåafstand til Vestamager metrostation.

De første 34 lejligheder (10 tilbage) har været klar siden d. 15. juni og de øvrige 45 lejligheder (26 tilbage) og 28 rækkehuse (13 tilbage) er klar pr. 15. September.

Der er parkeringskælder i ejendommen og mulighed for, at leje en parkeringsplads for 750 kr. pr. måned.

For nøjagtig størrelse, plantegning og husleje, så kom til Åbent Hus og få et overblik over de forskellige muligheder.

Åbent Hus foregår i vores prøvelejlighed og vi vil stå klar til at tage imod jer nede på gaden.

Obs: Tilmelding til åbent hus virker ikke i boligportalens mobil app men kun ved at logge på via en internet browser.",boligportal.dk/lejebolig/dp/3-vaerelses-lejlighed-koebenhavn-s/id-6027205
2,1 værelses lejlighed på 45 m²,8.500,1,45,København NV,Gravervænget,0,"Rummelig et værelses lejlighed 15 minutter fra Københavns centrum i naturskønneomgivelser

Rummelig og møbleret lejlighed udlejes i en periode af 2 år kun til en rolig ikke ryger M/K.

Lejligheden har alt i hvidevarer i et rummeligt spisekøkken, pænt badeværelse. Pænt stor og hyggelig stue med påklædnings niche. 

Jeg forventer af dig at du er rolig og ikke rygende, og ikke i besiddelse af husdyr, samt at du enten er langt tids studerende eller i fast job.

Kun seriøse henvendelser.
",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-nv/id-6025898
3,1 værelses lejlighed på 33 m²,9.950,1,33,København K,Store Kongensgade,0,"1- OG 2-VÆRELSES BOLIGER DEN GAMLE POLITISTATION på Store Kongensgade omdannes nu til moderne lejeboliger – lige midt i København K. Det bliver en arkitektonisk oase, centralt placeret i byen, med altaner og et atmosfærefyldt niveauopdelt gårdrum mod sydøst. LEJEBOLIGERNE i huset på Store Kongensgade består primært af 1-værelses studiolejligheder, hvoraf nogle har altan, samt et mindre antal 2-værelses lejligheder med altan på øverste etage. DE LYSE, MODERNE BOLIGER er indrettet med fokus på funktionalitet i en kvalitet, som er misundelsesværdig komfortabel og gør det nemt at nyde livet midt i byen.  HVIDE VÆGGE, DØRE OG VINDUESRAMMER i lejlighedens store rum med god plads til både studie- eller kontorplads og kombineret sofa- og sovemiljø. Velindrettet køkkensektion til både enkle og avancerede kokkerier, og badeværelse med væghængt toilet, bruseniche og gulvvarme. ALLE DETALJER er nøje gennemtænkte, med behovet for personlig indretning for øje. BYGNINGEN på Store Kongensgade renoveres fra inderst til yderst, så den fremstår i et nyt, moderne udtryk. De eksisterende facader omdannes med facadebeklædning i den smukke tombak – et materiale, som i sin gyldenbrune farve ligner kobber og som bringer en livlig og bestandig signatur til facadeudtrykket. FACADERNE fremstår både glatte og perforerede og leger dermed elegant med lys og æstetik, ligesom de store vinduespartier, som fra gulv til loft inviterer lys i massevis indenfor. De fem øverste lejligheder mod Store Kongensgade har altaner, som er afskærmet fra naboen og med plads til møbler. DE UDVENDIGE VINDUESRAMMER udføres i farvet aluminium, som tone-i-tone lægger sig op ad tombakken. På den måde stråler arkitekturen med sin egen unikke og harmoniske identitet. MOD GÅRDEN øges bygningskroppen med påmonterede ’kassetter’ som er henholdsvis åbne og lukkede i et skiftende forløb. Huset ’springer’ således i et livligt udtryk mod gårdmiljøet og lader lyset vandre på skift ind og ud af alle boligerne, understøttet af facadens gyldne materialitet, farvespil og de store vinduespartier. Flere af lejlighederne er udstyret med hyggelige altaner mod det skønne gårdrum. HUSETS HØJE STUEETAGE indrettes til dagligvarebutik, med adgang fra Store Kongensgade, og politistationen fra 1970’erne vil således fremover markere sig som en stolt og raffineret bygning, med en både funklende og hensynsfuld fremtoning i gadebilledet og blandt den omkringliggende klassicistiske arkitektur. OMRÅDET omkring boligerne på Store Kongensgade er blandt byens mest eftertragtede. Gamle palæer og herskabelige ejendomme blander sig med nyrenoverede butiksfacader, yogastudier og et væld af gastronomiske oplevelser på den kendte gade, der blev til i år 1650 og strækker sig fra Østerport. Station til Kongens Nytorv, som den vestligste trafikåre i Københavns ældste bydel, Frederiksstaden. HER STORTRIVES BYLIVET i alle afskygninger, tæt på nogle af hovedstadens ypperste attraktioner – få meter fra Marmorkirken og blot en kort gåtur fra bl.a. Nyhavn, Ofelia Beach og Toldboden. Så når byturen tager fat på de lyse timer, er der ikke langt hjem! Løbeture på Kastellet, i Kongens Have eller langs havnefronten. Shopping og hyggelige kaffebarer. Gallerier, fitnesscentre og søndagsbrunch med vennerne.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6030991
4,2 værelses lejlighed på 47 m²,3.500,2,47,København NV,Vilhelm Birkedals Vej,0,"En super hyggelig og møbleret egoist-lejlighed kun med plads til en enkelt lejer udlejes som pendlerlejlighed 3-4 dage om ugen! Lejligheden ligger fantastisk mellem Grundtvigskirken og Bispebjerg Kirkegård med masser af natur, stadig tæt på busser og i cykelafstand til centrum. Der er en lille semi-privat have  foran opgangen, og en lille fælles gård. I gården er der vaskeri og et lille motionsrum. Stuen har en fantastisk udsigt til Grundtvigskirken og er dejlig lys. Køkkenet har en lille siddeplads og udsigt til Bispebjerg Kirkegård. Soveværelset har kun en enkeltpersons seng og er en lille hule med masser af ro. Hvis du har brug for et sted at  være i nogle få dage om ugen er dette det perfekte sted. Jeg har et meget flesibelt arbejde, rejser en del og har et sommerhus der også skal passes. Så lejligheden står en del tom, derfor udlejer jeg den som pendlerlejlighed. Jeg er meget fleksibel i forhold til hvilke dage der udlejes, men så vidt muligt de samme hver uge - kom endelig med forslag. Lejligheden er fuldt møbleret.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-nv/id-6030898
5,2 værelses lejlighed på 41 m²,10.500,2,41,København K,Gernersgade,0,"Nyrenoveret lejlighed i Nyboder 5 min fra Østerport st og Marmorkirken.
Lys lejlighed som er fuldt møbleret med møbler, køkken grej og service. 
",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-k/id-6030754
6,2 værelses lejlighed på 55 m²,7.000,2,55,København N,Fafnersgade,0,"Pendler bolig udlejes - ikke tilgængelig i weekenderne. 
Ej muligt at have adresse i boligen

Boligen:

Entré til alle rum, Ny istandsat køkken med vaskemaskine og opvasker

Området: 

Fafnersgade er en gade i Haraldsgadekvarteret på Ydre Nørrebro i København. 

På den ene side er der beboelse, på den anden side gammel industri, hvilket giver rolige omgivelser.

En sidegade til Tagensvej, hvor der er masser af indkøbsmuligheder

Den nye cityring, som ligger 1min fra boligen, gør det nemt og hurtigt at komme til og fra Indre Kbh på 5 min. 
6A bussen går 2min fra boligen. 

Parkerings pladser udenfor boligen

Lejer:

- Pendler
- Ansvarlig og respekt overfor naboer
- Renlig 
- Ikke ryger

",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-n/id-6030753
7,1 værelses lejlighed på 20 m²,5.900,1,20,København K,Larslejsstræde,0,"Fin og ekstremt godt udnyttet 1-værelses lejlighed i København K. Lejligheden er helt ny og endnu ikke taget i brug. Der er bad, toilet, lille køkken med vask, køleskab samt kogeplader. Lejligheden er perfekt som studielejlighed eller hvis man blot har brug for et ekstra sted centralt i Kbh K.

Tæt på Nørreport station, Torvehallerne, Ørstedsparken, cafe-miljø, butikker og samtidig på en stille vej i København K.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6030746
8,1 værelses lejlighed på 44 m²,9.500,1,44,København K,Schacksgade,0,"Rummelig og renoveret et værelses lejlighed i hjertet af Nansensgadekvarteret. Et stenkast til Ørstedsparken og 500 meter til Torvehallerne/Nørreport St.

Lejligheden har en hyggelig stue, møbleret med en seng (Ikea springmadras 160x200), indbygget reol samt skænk med TV ophæng. Lejligheden har et pænt badeværelse med rainshower og skabe med spejl. Den har et spisekøkken med alt i hvidevarer. Der er 3 højskabe, hvor det ene fungerer som tøjskab. Der er vaskekælder med 2 vaskemaskiner og 1 tørretumbler, og lille grøn gårdhave. 

Jeg forestiller mig at du er rolig, ikke ryger,  ikke har husdyr og forpligter dig til at holde lejligheden pæn og ren. Du har fast arbejde eller studie. Der er mulighed for adresseregistrering. 

Lejeperioden er: 01.09.2020 - 31.01 2021 
Husleje: 9500 kr pr md - incl el, varme, wifi
Depositum: 1 x måneds leje 9500 kr 

Kun seriøse henvendelser. 

—————————————

Sublease from 1 September, furnished one bedroom, Copenhagen K

Spacious and renovated one bedroom apartment in the heart of the Nansensgade district. A stone\'s throw to Ørstedsparken and 500 meters to Torvehallerne / Nørreport St.

The apartment has a cozy living room, furnished with a bed (Ikea spring mattress 160x200), built-in bookcase and sideboard with TV suspension. The apartment has a nice bathroom with rainshower and cabinets with mirror. It has a dining kitchen with everything in white goods. There are 3 high cabinets, one of which functions as a wardrobe. There is a laundry room with 2 washing machines and 1 dryer, and small green patio.

I imagine that you are calm, do not smoke, do not have pets and commit you to keep the apartment neat and clean. You have a permanent job or study. Address registration is possible.

The rental period is: 01.09.2020 - 31.01 2021
Rent: 9500 kr per month - incl electricity, heating, wifi
Deposit: 1 x monthly rent DKK 9,500

Only serious inquiries.

",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6030743
9,2 værelses lejlighed på 58 m²,10.500,2,58,København S,Grækenlandsvej,0,"Nice furnsihed Apartment. 

All kitchen ware & utensils.

Washing machine.

All furniture.

Easy access to buses & shopping.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6030731
